ID,Year,Semester,CourseId,Section,facultyId,Title
6,2012,3,A4003,1,388,A4003_2012_3 Core III studio.FINAL.pdf
9,2012,3,A4023,1,380,A4023_001_2012_3_ADR I_UhlFano.pdf
16,2012,3,A4028,1,503,A4028_001_2012_3 Building New York_Dolkart.pdf
18,2012,3,A4032,1,444,A4032_001_2012_3 CCCP Arch Colloquim_Scott.pdf
64,2012,3,A4103,3,828,A4103_003_2012_3 LOT EK_TollaLignanodeMonchaux.pdf
108,2012,3,A4105,1,397,A4105_001_2012_3 ADV Studio V_HawkinsonUhl.pdf
109,2012,3,A4105,2,389,A4105_002_2012_3 ADV Studio V_Tschumi.pdf
110,2012,3,A4105,4,609,A4105_004_2012_3 CBIP-2 Benjamin.pdf
111,2012,3,A4105,5,401,A4105_005_2012_3 ADV Studio V_Dochanstschi.pdf
112,2012,3,A4105,6,402,A4105_006_2012_3 ADV Studio V_Couture.pdf
113,2012,3,A4105,7,457,A4105_007_2012_3 ADV Studio V_Andraos.pdf
114,2012,3,A4105,10,406,A4105_010_2012_3 ADV Studio V_Plunz.pdf
115,2012,3,A4105,11,407,A4105_011_2012_3 ADV Studio V_Tsurumaki.pdf
116,2012,3,A4105,13,383,A4105_013_2012_3 ADV Studio V_Rothstein.pdf
117,2012,3,A4105,15,614,A4105_015_2012_3 ADV Studio V_Levrat.pdf
118,2012,3,A4105,16,496,A4105_016_2012_3 ADV Studio V_Wilson.pdf
119,2012,3,A4105,18,613,A4105_018_2012_3 ADV Studio V_Roche.pdf
219,2012,3,A4111,1,623,A4111_2012_3 Arch Tech I_Anzalone.pdf
223,2012,3,A4113,1,624,A4113_2012_3 Arch Tech III_Exalted Structure_Laufs.pdf
226,2012,3,A4118,1,426,A4118_2012_3 Kostura.pdf
228,2012,3,A4124,1,625,A4124_001_2012_3 Structures Sys Materials_Gembinski.pdf
248,2012,3,A4341,1,503,A4341_2012_3 Amer Arch I_Dolkart.pdf
256,2012,3,A4348,1,0,A4348_001_2012_3 Amer Arch I_McLeod.pdf
261,2012,3,A4356,1,596,A4356_001_2012_3 Contemp Chinese City_Johnson.pdf
274,2012,3,A4469,1,432,A4469_001_2012_3 Hist of Arch Theory_Wigley.pdf
279,2012,3,A4510,1,503,A4510_001_2012_3 Reading Buildings_DolkartBollack.pdf
280,2012,3,A4515,1,607,A4515_001_2012_3 Network Culture_Varnelis.pdf
286,2012,3,A4524,1,0,A4524_001_2012_3 Topo Study_Sanchez.pdf
302,2012,3,A4535,1,380,A4535_001_2012_3 Fund of Digital Des_UhlFano.pdf
316,2012,3,A4581,1,418,A4581_001_2012_3 Exhibition Histories_Wasiuta.pdf
319,2012,3,A4598,1,0,A4598_001_2012_3 Modern Housing_Wright.pdf
322,2012,3,A4605,1,629,A4605_001_2012_3 Italian Ren Arch_Sherer.pdf
332,2012,3,A4623,1,0,A4623_001_2012_3 Sustainable Futures_Orff.pdf
343,2012,3,A4642,1,496,A4642_001_2012_3 Contested Grounds_M. Wilson.pdf
350,2012,3,A4676,1,483,A4676_001_2012_3 Arch Photography_Attali.pdf
361,2012,3,A4684,1,440,A4684_001_2012_3 Sustainable Des_Norris.pdf
739,2012,3,A4003,1,0,A4003_2012_3 Core III studio.pdf
968,2012,3,A4113,1,624,A4113_2012_3 Arch Tech III_Laufs2.pdf
1076,2012,3,A4581,1,418,A4581_2012_3 Exhibition Histories_Wasiuta.pdf
1,2013,3,A4001,1,394,A4001_2013_3_Core I Studio Solomonoff Kumpusch Tomisaki Aviles Kim Rakatansky Caldeira Uhl.pdf
10,2013,3,A4023,1,380,A4023_001_2013_3_ Architectural Drawing Representation - Uhl.pdf
14,2013,1,A4024,1,591,A4024_001_2013_1_ADR 2Kurgan.pdf
19,2013,3,A4032,1,418,A4032_001_2013_3_Arch Colloquium I Documents and Discourse - Wasiuta.pdf
21,2013,3,A4101,1,394,A4101_001_2013_3_Core I Studio.pdf
22,2013,3,A4101,2,376,A4101_002_2013_3_Core I Studio.pdf
23,2013,3,A4101,3,592,A4101_003_2013_3_Core I Studio.pdf
24,2013,3,A4101,4,593,A4101_004_2013_3_Core I Studio.pdf
26,2013,3,A4101,6,413,A4101_006_2013_3_Core I Studio.pdf
27,2013,3,A4101,7,595,A4101_007_2013_3_Core I Studio.pdf
28,2013,3,A4101,8,380,A4101_008_2013_3_Core I Studio.pdf
45,2013,1,A4102,2,413,A4102_002_2013_1_Rakatansky.pdf
46,2013,1,A4102,7,376,A4102_007_2013_1_Kumpusch.pdf
47,2013,1,A4102,8,383,A4102_008_2013_1_Rothstein.pdf
65,2013,3,A4103,1,388,A4103_001_2013_3_Core Housing Studio III - Sample.pdf
66,2013,3,A4103,2,389,A4103_002_2013_3_Core Housing Studio III - Marino.pdf
67,2013,3,A4103,3,828,A4103_003_2013_3_Core Housing Studio III - Lignano Monchaux Tolla.pdf
68,2013,3,A4103,4,829,A4103_004_2013_3_Core Housing Studio III - Segal.pdf
69,2013,3,A4103,5,392,A4103_005_2013_3_Core Housing Studio III - Eldred.pdf
70,2013,3,A4103,6,393,A4103_006_2013_3_Core Housing Studio III - Gooden.pdf
71,2013,3,A4103,7,391,A4103_007_2013_3_Core Housing Studio III - Bunge.pdf
72,2013,3,A4103,8,673,A4103_008_2013_3_Core Housing Studio III - Gauthier.pdf
89,2013,1,A4104,1,605,A4104_001_2013_1_Fornabai.pdf
90,2013,1,A4104,2,607,A4104_002_2013_1_Varnelis.pdf
91,2013,1,A4104,3,608,A4104_003_2013_1_ManaughTwilley.pdf
120,2013,3,A4105,1,397,A4105_001_2013_3 The New UniversityHawkinson.pdf
121,2013,3,A4105,2,389,A4105_002_2013_3 Armory Generator Notion - Tschumi.pdf
122,2013,3,A4105,3,399,A4105_003_2013_3 Sweet Home Urbanism - Jaque.pdf
123,2013,3,A4105,4,609,A4105_004_2013_3 Regenerative Architecture - Benjamin Brivanlou Blankenship Nagy.pdf
124,2013,3,A4105,5,401,"A4105_005_2013_3 Baku, Azerbijan Studio - Dochantschi.pdf"
125,2013,3,A4105,6,402,A4105_006_2013_3 The Architecture of Liquid Cities - Couture Lowry Eleazor.pdf
126,2013,3,A4105,7,457,A4105_007_2013_3 Architecture and Representation The Lens of Diplomacy - Andraos.pdf
127,2013,3,A4105,8,380,A4105_008_2013_3 Architecture Agonism The Urban Imaginary Project- Goberna.pdf
128,2013,3,A4105,9,405,A4105_009_2013_3 Plastic Architecture - Bell.pdf
129,2013,3,A4105,10,406,A4105_010_2013_3 New Edge City - Plunz.pdf
130,2013,3,A4105,11,407,A4105_011_2013_3 Spatial Perception - Tsurumaki.pdf
131,2013,3,A4105,12,437,A4105_012_2013_3 Pandora - Safran.pdf
132,2013,3,A4105,13,383,A4105_013_2013_3 Transience - Rothstein.pdf
133,2013,3,A4105,14,0,"A4105_014_2013_3 Memory, Memorial, Memorialization - Breslin Kudo.pdf"
134,2013,3,A4105,15,614,A4105_015_2013_3 Event City - Levrat.pdf
135,2013,3,A4105,16,496,A4105_016_2013_3 Urban Futures Future Architectures Africa 5.0 - Wilson.pdf
136,2013,3,A4105,17,431,A4105_017_2013_3 Recommissioning Saarinen - Konyk Otero-Pailos.pdf
137,2013,3,A4105,18,613,A4105_018_2013_3 (n)certainties The battle of impermanency - Roche.pdf
138,2013,3,A4105,19,0,A4105_019_2013_3 The Urban Estuary - Ascher Orff.pdf
173,2013,1,A4106,1,388,A4106_001_2013_1_Sample.pdf
174,2013,1,A4106,4,393,A4106_004_2013_1_Gooden.pdf
175,2013,1,A4106,6,612,A4106_006_2013_1 ADV Studio VI_Hasegawa Collins_SyllabusSM.pdf
176,2013,1,A4106,7,410,A4106_007_2013_1 Inaba.pdf
177,2013,1,A4106,12,828,A4106_012_2013_1_LOT EK_TollaLignanodeMonchaux.pdf
178,2013,1,A4106,17,396,A4106_017_2013_1_Walker.pdf
179,2013,1,A4106,18,394,A4106_018_2013_1_Solomonoff.pdf
180,2013,1,A4106,19,397,A4106_019_2013_1_HawkinsonUhl.pdf
227,2013,3,A4118,1,0,A4118_2013_3 Exalted Structures.pdf
231,2013,1,A4141,1,626,A4141_001_2013_1 Ivaliotis.pdf
234,2013,3,A4151,1,526,A4151_2013_3 Economics for Planners - Adler.pdf
235,2013,3,A4208,1,527,A4208_2013_3 Planning Techniques - King.pdf
236,2013,3,A4226,1,0,A4226_2013_3 A Strategic Planning Tool - Kahn.pdf
237,2013,3,A4304,1,551,A4304_2013_3 Introduction to Housing - Freeman.pdf
238,2013,1,A4326,1,0,A4326_2013_1_ARCH VISUALIZATION SINCE 1900_Martin.pdf
242,2013,1,A4332,1,0,A4332_2013_1_Europeanism and Cartography 16th to 18th_Sanger.pdf
247,2013,3,A4340,1,0,A4340_2013_3 Sustainable Zoning + Land Use - Martin.pdf
249,2013,1,A4341,1,431,A4341_001_2013_1_American Arch II_OteroPailos.pdf
250,2013,3,A4341,1,503,A4341_2013_3 American Architecture I - Dolkart.pdf
253,2013,1,A4344,1,0,A4344_001_2013_1_Traditional Japanese Arch_Kudo.pdf
258,2013,1,A4349,1,630,A4349_001_2013_1 History of Architecture II Twentieth Century_Frampton.pdf
267,2013,3,A4387,1,526,"A4387_2013_3 Privatization, Privateêè____¢Public Partnership and Efficiency - Adler.pdf"
272,2013,1,A4461,1,669,A4461_2013_1_Traditional Chinese Arch_LiuChang.pdf
275,2013,3,A4469,1,432,A4469_001_2013_3 The History of Architectural Theory - Wigley.pdf
278,2013,3,A4501,1,0,A4501_2013_3 Local Economic Development Planning - Sutton.pdf
281,2013,3,A4515,1,607,A4515_2013_3 Network Culture The History of the Contemporary - Varnelis.pdf
283,2013,1,A4517,1,631,A4517_001_2013_1 Exotic Moderns City Space Other_Hosagrahar.pdf
287,2013,1,A4524,1,0,A4524_001_2013_1 Simulation Org Tangible_Sanchez.pdf
288,2013,3,A4524,1,0,A4524_2013_3 The Topological Study of Form - Sanchez.pdf
292,2013,3,A4525,1,0,A4525_2013_3 Simulation Origin Tangible Form - Sanchez.pdf
297,2013,1,A4529,1,0,A4529_001_2013_1 Colonial Post Colonial_Wright.pdf
298,2013,1,A4534,1,0,A4534_001_2013_1 Techniques of the Ultrareal_Lotfi Jam.pdf
303,2013,3,A4535,1,0,A4535_2013_3 FuDD FA'13_Syllabus.pdf
305,2013,1,A4537,1,402,A4537_001_2013_1 Outside the Box Install_Couture.pdf
314,2013,3,A4577,1,0,A4577_2013_3 Introduction to Geographic Information Systems - Braden.pdf
320,2013,3,A4598,1,0,A4598_001_2013_3 Modern Housing Wright.pdf
323,2013,3,A4605,1,629,A4605_2013_3 Italian Renaissance Architecture 1400 to 1600 - Sherer.pdf
324,2013,3,A4609,1,0,A4609_2013_3 World Architecture Project - Lelyveld.pdf
325,2013,3,A4612,1,483,A4612_2013_3 Architectural Photography II - Attali.pdf
327,2013,1,A4615,1,483,A4615_001_2013_1 Arch Photography II_Attali.pdf
333,2013,3,A4623,1,0,A4623_2013_3 Sustainable Futures - Horodniceanu.pdf
335,2013,1,A4628,1,632,A4628_001_2013_1 Acoutstic_Patel.pdf
338,2013,1,A4634,1,633,A4634_2013_1 Advanced Curtain Wall_Heintges.pdf
351,2013,1,A4676,1,483,A4676_001_2013_1 Arch Photography_Attali.pdf
352,2013,3,A4676,1,483,A4676_2013_3 Architectural Photography - Attali.pdf
355,2013,1,A4678,1,405,A4678_001_2013_1 New Spaces of Housing_Bell Loughlin.pdf
358,2013,1,A4682,1,428,A4682_2013_1_Schwitter Advanced Energy Performance.pdf
365,2013,1,A4688,1,635,A4688_001_2013_1 Pub Space Recombinant Urbanic_Shane.pdf
368,2013,1,A4705,1,444,A4705_001_2013_1 Archtiecture After 1945_Scott.pdf
370,2013,3,A4707,1,612,A4707_2013_3 Digital Detailing Testing and Analysis - Hasegawa Collins.pdf
372,2013,1,A4711,1,612,A4711_001_2013_1 Adv Algorithmic Design_Hasegawa Collins.pdf
373,2013,3,A4711,1,612,A4711_2013_3 Advanced Algorithmic Design - Hasegawa Collins.pdf
381,2013,1,A4716,1,487,A4716_001_2013_1 Graphic Pres I_Meier Choi.pdf
384,2013,3,A4717,1,0,A4717_2013_3 Adv Graphic Pres II - Chiao.pdf
389,2013,1,A4722,1,607,A4722_001_2013_1 Extreme Cities Seminar_Varnelis.pdf
392,2013,1,A4726,1,637,A4726_001_2013_1 Other Design_Rock.pdf
393,2013,3,A4726,1,637,A4726_2013_3 Multi-screen experiences - Rock.pdf
399,2013,3,A4741,1,0,A4741_2013_3 Territory - Brush.pdf
400,2013,1,A4743,1,532,A4743_001_2013_1 animated Computation 2_Whitelaw.pdf
402,2013,3,A4747,1,634,A4747_2013_3 Parametric Realizations - Bearak Borders.pdf
405,2013,1,A4748,1,0,A4748_001_2013_1 TPC in Fabrication in Formworks_Draper.pdf
406,2013,3,A4748,1,0,A4748_2013_3 Formworks Design Machines - Draper.pdf
409,2013,3,A4753,1,0,A4753_2013_3 Formworks Field Fabrications - Draper.pdf
416,2013,1,A4764,1,0,A4764_001_2013_1 Comm Complex Ideas in Public_Schlossberg.pdf
421,2013,3,A4776,1,0,"A4776_2013_3 Man, Machine, and the Industrial Landscape - Gallagher.pdf"
423,2013,1,A4780,1,444,A4780_001_2013_1 Arch Human Right Spatial Pol_Scott.pdf
425,2013,3,A4781,1,0,A4781_2013_3 Surface Screen And Structure - Vidich.pdf
427,2013,3,A4783,1,609,A4783_2013_3 Workflow Designing Industry - Marble.pdf
429,2013,3,A4786,1,0,A4786_2013_3 Biomaterials - Parkes.pdf
430,2013,1,A4787,1,0,A4787_001_2013_1 Beyond the Outlet_Parkes.pdf
431,2013,3,A4788,1,446,A4788_2013_3 Modular Architecture - Wallance.pdf
434,2013,1,A4793,1,612,A4793_001_2013_1 App-itecture_Hasegawa Collins.pdf
437,2013,3,A4794,1,0,A4794_2013_3 Body Craft - Parkes.pdf
438,2013,1,A4798,1,0,A4798_001_2013_1 Craft in the Digital Age_Carter.pdf
439,2013,3,A4798,1,0,A4798_2013_3 Craft in the Digital Age - Carter.pdf
443,2013,1,A4801,1,493,A4801_001_2013_1 Encoded Matter_Blasetti.pdf
444,2013,3,A4801,1,493,A4801_2013_3 Encoded Matter - Blasetti.pdf
447,2013,1,A4803,1,396,A4803_001_2013_1 Dictionary of Received Ideas_Walker.pdf
449,2013,1,A4804,1,396,A4804_001_2013_1 Program_Walker.pdf
455,2013,1,A4812,1,0,A4812_001_2013_1 Management Complexity_Negro.pdf
459,2013,1,A4814,1,495,A4814_001_2013_1 Hacking the Urban Experience_Locke.pdf
460,2013,3,A4814,1,495,A4814_2013_3 Hacking The Urban Experience - Locke.pdf
464,2013,3,A4815,1,496,A4815_2013_3 XIM Parametric Site Analysis - Wilson.pdf
467,2013,1,A4819,1,0,A4819_001_2013_1 Web as Site_Therrien Dennis.pdf
468,2013,3,A4819,1,0,A4819_2013_3 Site to Site From Site to Web - Barley Therrien.pdf
470,2013,1,A4820,1,0,A4820_001_2013_1 Designing Narratives_Watkins.pdf
472,2013,1,A4821,1,0,A4821_001_2013_1 Knowing Citites_Meisterlin.pdf
474,2013,3,A4822,1,0,A4822_2013_3 Site to Site From Web to Site - Barley Therrien.pdf
476,2013,1,A4823,1,0,A4823_001_2013_1 Intelligent Systems_Payne.pdf
477,2013,3,A4823,1,0,A4823_2013_3 Intelligent Systems Interactive Architectures - Payne.pdf
479,2013,1,A4829,1,496,A4829_2013_1 XIM Parametric Massing + Optimization_Luc Wilson.pdf
480,2013,3,A4829,1,0,A4829_2013_3 XIM Parametic Massing + Optimization.pdf
484,2013,1,A4832,1,0,A4832_001_2013_1 Drawing after the Computer_Bryan.pdf
492,2013,1,A4837,1,609,A4837_001_2013_1 Post Parametric_Benjamin.pdf
499,2013,2,A4853,1,413,A4853_001_2013_2 AAD Mark Rakatansky_Columbia Summer 2013 AAD Studio.pdf
500,2013,2,A4853,2,0,A4853_002_2013_2 AAD Architecture Without Content_GeersZanderigo_Su.pdf
501,2013,2,A4853,3,0,A4853_003_2013_2 AAD gobernaStudio Description.pdf
502,2013,2,A4853,4,590,A4853_004_2013_2 AAD Hoang_GSAPP Su13.pdf
503,2013,2,A4853,5,399,A4853_005_2013_2 AAD Andres Jaque.pdf
504,2013,2,A4853,6,617,A4853_006_2013_2 AAD Keith Kaseman.pdf
505,2013,2,A4853,7,669,A4853_007_2013_2 AAD Liu.pdf
506,2013,2,A4853,8,0,A4853_008_2013_2 AAD okisyllabus20132.pdf
507,2013,2,A4853,9,0,A4853_009_2013_2 AAD Nanako Umemoto.pdf
508,2013,2,A4853,10,0,A4853_010_2013_2 AAD Wood Lord Dufaux-Syllabus.pdf
509,2013,2,A4853,11,0,A4853_011_2013_2 AAD moreno_presentation large.pdf
533,2013,1,A6160,1,594,A6160_001_2013_1 Known Unknowns_Kim.pdf
534,2013,1,A6163,1,0,A6163_001_2013_1 Latin American Architecture_Brillembourg.pdf
536,2013,1,A6165,1,388,A6165_001_2013_1 Health and Cities_Sample.pdf
538,2013,1,A6180,1,619,A6180_001_2013_1 Arch as Practice_Herreros.pdf
540,2013,3,A6222,1,0,A6222_2013_3 Affordable Housing - Brass Froehlich.pdf
541,2013,3,A6228,1,0,A6228_001_2013_3 Investment Strategies in a Distressed Environment Sheets.pdf
542,2013,3,A6233,1,0,A6233_2013_3 Civic hacking - Bullen.pdf
543,2013,3,A6305,1,431,A6305_2013_3 HP Arch Studio Oslo - Konyk Otero-Pailos.pdf
549,2013,3,A6330,1,538,A6330_2013_3 Site Planning Support System Development - Trelstad.pdf
550,2013,3,A6346,1,0,A6346_2013_3 Planning in Emerging Economies - Li.pdf
552,2013,3,A6390,1,0,A6390_2013_3 Post War Japanese Architecture - Kudo.pdf
554,2013,1,A6412,1,640,A6412_001_2013_1 Conservation Project Mgmnt_Kavenagh.pdf
561,2013,3,A6434,1,0,A6434_2013_3 Introduction to Transportation Planning - Lapp.pdf
563,2013,3,A6453,1,0,A6453_2013_3 Corporate Avant Garde - Leong Reidel.pdf
564,2013,3,A6454,1,457,A6454_2013_3 Arab Cities in Evolution - Andraos.pdf
567,2013,3,A6457,1,517,A6457_2013_3 The Reappearing Acts of Spatial Practice - Weiss.pdf
569,2013,3,A6459,1,0,A6459_2013_3 The New University - Cole Martin.pdf
570,2013,3,A6605,1,649,A6605_2013_3 The Development of Urban Informality - Mazarro.pdf
571,2013,3,A6609,1,616,A6609_2013_3 Territorial Imperative 20th Century New Towns - Smiley.pdf
573,2013,3,A6672,1,0,A6672_2013_3 Double Exposure - Foyo.pdf
583,2013,3,A6722,1,642,A6722_2013_3 Making Preservation Happen - Ingen.pdf
588,2013,3,A6740,1,431,A6740_2013_3 Historic Preservation and Practice - Otero-Pailos.pdf
590,2013,3,A6741,1,0,A6741_2013_3 Conservation Workshop - Joblonsky Thomas-Haney.pdf
594,2013,3,A6751,1,0,A6751_2013_3 Thesis I - Logan.pdf
600,2013,3,A6769,1,0,A6769_2013_3 Histories of American Cities - Wright.pdf
602,2013,3,A6770,1,0,A6770_2013_3 The Urban Estuary - Ascher Orff.pdf
610,2013,3,A6790,1,0,A6790_2013_3 Historic Preservation Colloquium - Bentel Neville.pdf
612,2013,3,A6793,1,0,A6793_2013_3 Soviet Avant-Garde Architecture 1917 to 1933 - Vytuleva.pdf
629,2013,3,A6832,1,0,A6832_2013_3 Urban Preconfiguration NY Global - Conard.pdf
631,2013,3,A6834,1,0,A6834_2013_3 Advanced Digital Modeling for Urban Design - Sanchez.pdf
635,2013,3,A6837,1,406,A6837_2013_3 Fabrics and Typologies NY Global - Plunz.pdf
638,2013,3,A6850,1,594,A6850_2013_3 Urban Design Studio II - Moore Kroner Marpillero Duncan Kim Altman.pdf
641,2013,3,A6852,1,644,A6852_2013_3 Interpretation + Architecture - Willams.pdf
645,2013,3,A6930,1,551,A6930_2013_3 Adv Quantitative Techniques - Freeman.pdf
646,2013,3,A8222,1,588,A8222_2013_3 Thesis IResearch - Keenan.pdf
647,2013,3,A8900,1,527,A8900_2013_3 Doctoral Colloquium I - King.pdf
673,2013,3,Pla4579,1,533,Pla4579_2013_3_Intro Environ Plan Marcotullio.pdf
709,2013,3,Pla6389,1,588,Pla6389_2013_3_Keenan_Tokyo Design-Development Studio.pdf
918,2013,1,A4106,6,612,A4106_006_2013_1_Hasegawa Collins.pdf
1036,2013,1,A4524,1,0,A4524_001_2013_1 Topo Study of Form_Sanchez.pdf
1038,2013,3,A4524,1,0,A4524_2013_3 The Topological Study of Form_Sanchez.pdf
1046,2013,3,A4525,1,0,A4525_2013_3 Simulation Origin Tangible Form_Sanchez.pdf
1230,2013,1,A4814,1,496,A4814_2013_1 XIM Parametric Site Analysis_Luc Wilson.pdf
1326,2013,3,A6228,1,0,A6228_2013_3 Investment Strategies in a Distressed Environment - Sheets.pdf
2,2014,3,A4001,1,405,A4001_001_2014_3_Core I Brief I FA 2014.pdf
4,2014,1,A4002,1,457,A4002_2014_1 CORE ARCHITECTURE STUDIO II.pdf
7,2014,3,A4003,1,388,A4003_001_2014_3_Fall Housing Syllabus.pdf
11,2014,3,A4023,1,380,A4023_001_2014_3_ADR I_Uhl Nagy Goberna.pdf
15,2014,1,A4024,1,591,A4024_2014_1_ADR_II.pdf
17,2014,3,A4028,1,503,A4028_001_2014_3_Dolkart BUILDING NEW YORK.pdf
20,2014,3,A4032,1,418,A4032_001_2014_3_CCCP Colloquium_Wasiuta.pdf
29,2014,3,A4101,1,413,A4101_001_2014_3_Core I Brief I FA 2014.pdf
30,2014,3,A4101,2,394,A4101_002_2014_3_Core I Brief I FA 2014.pdf
31,2014,3,A4101,3,592,A4101_003_2014_3_Core I Brief I FA 2014.pdf
32,2014,3,A4101,4,380,A4101_004_2014_3_Core I Brief I FA 2014.pdf
33,2014,3,A4101,5,594,A4101_005_2014_3_Core I Brief I FA 2014.pdf
34,2014,3,A4101,6,597,A4101_006_2014_3_Core I Brief I FA 2014.pdf
35,2014,3,A4101,7,593,A4101_007_2014_3_Core I Brief I FA 2014.pdf
36,2014,3,A4101,8,596,A4101_008_2014_3_Core I Brief I FA 2014.pdf
48,2014,1,A4102,1,457,A4102_001_2014_1_Andraos.pdf
49,2014,1,A4102,2,413,A4102_002_2014_1_Rakatansky.pdf
50,2014,1,A4102,3,598,A4102_003_2014_1_Arbizu.pdf
51,2014,1,A4102,4,496,A4102_004_2014_1_Wilson.pdf
52,2014,1,A4102,5,829,A4102_005_2014_1_Segal.pdf
53,2014,1,A4102,6,599,A4102_006_2014_1_Klein.pdf
54,2014,1,A4102,7,376,A4102_007_2014_1_Kumpusch.pdf
55,2014,1,A4102,8,383,A4102_008_2014_1_ROTHSTEIN.pdf
73,2014,3,A4103,1,388,A4103_001_2014_3_Sample.pdf
74,2014,3,A4103,2,389,A4103_002_2014_3_Marino.pdf
75,2014,3,A4103,3,828,A4103_003_2014_3_Tolla Lignano Lot-Ek.pdf
76,2014,3,A4103,4,604,A4103_004_2014_3_Schindler.pdf
77,2014,3,A4103,5,392,A4103_005_2014_3_Eldred.pdf
78,2014,3,A4103,6,393,A4103_006_2014_3_Gooden.pdf
79,2014,3,A4103,7,591,A4103_007_2014_3_Kurgan_Saldarriaga 2014_housing.pdf
80,2014,3,A4103,8,603,A4103_008_2014_3_Gauthier_Studio_Statement.pdf
